comment,cleaning,normalisasi,tokenize,stopword
Judul konten mustinya gitu kali ya? Dibuat umum saja pak doseeeen😂,judul konten mustinya gitu kali ya dibuat umum saja pak doseeeen,judul konten mustinya begitu kali ya dibuat umum saja pak doseeeen,"['judul', 'konten', 'mustinya', 'begitu', 'kali', 'ya', 'dibuat', 'umum', 'saja', 'pak', 'doseeeen']",judul konten mustinya kali ya doseeeen
"Cerita soal “terjebak jurusan karena suka main game” itu relatable banget dan jujur, ngebuka mata banyak orang termasuk saya, bahwa keputusan besar seperti memilih jurusan nggak boleh cuma berdasarkan kesenangan sesaat—karena kuliah itu bukan taman bermain, tapi ladang bertumbuh. Kalimat “kuliah itu nggak sekadar 3 SKS di kelas, tapi 9 SKS kalau dihitung beban belajarnya” tuh beneran kayak wake-up call buat siapa pun yang masih ngerasa kuliah itu santai, padahal nyatanya, kalau gak pinter ngatur waktu, yang santai bisa jadi stres. Jadi makin sadar kalau dunia kampus itu kayak simulasi dunia nyata—siapa yang bisa ngatur dirinya, dia yang bakal bertahan.<br><br>Bagian transisi dari “siswa SMA kelas 13” ke mahasiswa itu lucu tapi nyentil keras banget, apalagi buat anak rantau yang biasa diingatkan orang rumah, lalu mendadak harus ngatur semuanya sendiri; di situlah karakter ditempa, bukan di ruang kelas, tapi dalam sunyi saat harus memilih antara tanggung jawab atau rebahan. Ada satu kalimat yang nempel banget: “jangan kelamaan jadi siswa, karena mahasiswa bukan soal status, tapi soal sikap”—dan itu relevan banget untuk kita yang sering terjebak dalam zona nyaman. Makanya sekarang saya jadi sering nanya ke diri sendiri, ini lagi kuliah atau lagi numpang lewat?<br><br>Terakhir, insight tentang magang dan komunitas itu emas banget—karena ternyata “jago kandang” bukan cuma soal malas tampil, tapi juga soal takut gagal padahal kesempatan itu justru lahir dari keberanian untuk ikut lomba, masuk komunitas, dan cari peran lebih dari sekadar mahasiswa pasif. Dulu saya pikir kalau nggak pintar-pintar banget, mending nggak usah ikut lomba, ternyata justru dari sana relasi dan kepercayaan diri dibangun—karena yang paling mahal dari kuliah bukan ijazahnya, tapi pengalaman yang gak bisa dibeli ulang. Sekarang jadi makin mantap buat keluar dari kandang dan terbang lebih jauh, karena saya percaya, belajar terbaik justru dimulai saat kita nggak lagi merasa paling tahu.",cerita soal terjebak jurusan karena suka main game itu relatable banget dan jujur ngebuka mata banyak orang termasuk saya bahwa keputusan besar seperti memilih jurusan nggak boleh cuma berdasarkan kesenangan sesaat karena kuliah itu bukan taman bermain tapi ladang bertumbuh kalimat kuliah itu nggak sekadar sks di kelas tapi sks kalau dihitung beban belajarnya tuh beneran kayak wake up call buat siapa pun yang masih ngerasa kuliah itu santai padahal nyatanya kalau gak pinter ngatur waktu yang santai bisa jadi stres jadi makin sadar kalau dunia kampus itu kayak simulasi dunia nyata siapa yang bisa ngatur dirinya dia yang bakal bertahan bagian transisi dari siswa sma kelas ke mahasiswa itu lucu tapi nyentil keras banget apalagi buat anak rantau yang biasa diingatkan orang rumah lalu mendadak harus ngatur semuanya sendiri di situlah karakter ditempa bukan di ruang kelas tapi dalam sunyi saat harus memilih antara tanggung jawab atau rebahan ada satu kalimat yang nempel banget jangan kelamaan jadi siswa karena mahasiswa bukan soal status tapi soal sikap dan itu relevan banget untuk kita yang sering terjebak dalam zona nyaman makanya sekarang saya jadi sering nanya ke diri sendiri ini lagi kuliah atau lagi numpang lewat terakhir insight tentang magang dan komunitas itu emas banget karena ternyata jago kandang bukan cuma soal malas tampil tapi juga soal takut gagal padahal kesempatan itu justru lahir dari keberanian untuk ikut lomba masuk komunitas dan cari peran lebih dari sekadar mahasiswa pasif dulu saya pikir kalau nggak pintar pintar banget mending nggak usah ikut lomba ternyata justru dari sana relasi dan kepercayaan diri dibangun karena yang paling mahal dari kuliah bukan ijazahnya tapi pengalaman yang gak bisa dibeli ulang sekarang jadi makin mantap buat keluar dari kandang dan terbang lebih jauh karena saya percaya belajar terbaik justru dimulai saat kita nggak lagi merasa paling tahu,cerita soal terjebak jurusan karena suka main game itu relatable banget dan jujur ngebuka mata banyak orang termasuk saya bahwa keputusan besar seperti memilih jurusan tidak boleh cuma berdasarkan kesenangan sesaat karena kuliah itu bukan taman bermain tapi ladang bertumbuh kalimat kuliah itu tidak sekadar sks di kelas tapi sks kalau dihitung beban belajarnya tuh benaran kayak wake up call buat siapa pun yang masih merasa kuliah itu santai padahal nyatanya kalau tidak pintar mengatur waktu yang santai bisa jadi stres jadi makin sadar kalau dunia kampus itu kayak simulasi dunia nyata siapa yang bisa mengatur dirinya dia yang bakal bertahan bagian transisi dari siswa sama kelas ke mahasiswa itu lucu tapi nyentil keras banget apalagi buat anak rantau yang biasa diingatkan orang rumah lalu mendadak harus mengatur semuanya sendiri di situlah karakter ditempa bukan di ruang kelas tapi dalam sunyi saat harus memilih antara tanggung jawab atau rebahan ada satu kalimat yang menempel banget jangan kelamaan jadi siswa karena mahasiswa bukan soal status tapi soal sikap dan itu relevan banget untuk kita yang sering terjebak dalam zona nyaman makanya sekarang saya jadi sering bertanya ke diri sendiri ini lagi kuliah atau lagi numpang lewat terakhir insight tentang magang dan komunitas itu emas banget karena ternyata jago kandang bukan cuma soal malas tampil tapi juga soal takut gagal padahal kesempatan itu justru lahir dari keberanian untuk ikut lomba masuk komunitas dan cari peran lebih dari sekadar mahasiswa pasif dulu saya pikir kalau tidak pintar pintar banget mending tidak usah ikut lomba ternyata justru dari sana relasi dan kepercayaan diri dibangun karena yang paling mahal dari kuliah bukan ijazahnya tapi pengalaman yang tidak bisa dibeli ulang sekarang jadi makin mantap buat keluar dari kandang dan terbang lebih jauh karena saya percaya belajar terbaik justru dimulai saat kita tidak lagi merasa paling tahu,"['cerita', 'soal', 'terjebak', 'jurusan', 'karena', 'suka', 'main', 'game', 'itu', 'relatable', 'banget', 'dan', 'jujur', 'ngebuka', 'mata', 'banyak', 'orang', 'termasuk', 'saya', 'bahwa', 'keputusan', 'besar', 'seperti', 'memilih', 'jurusan', 'tidak', 'boleh', 'cuma', 'berdasarkan', 'kesenangan', 'sesaat', 'karena', 'kuliah', 'itu', 'bukan', 'taman', 'bermain', 'tapi', 'ladang', 'bertumbuh', 'kalimat', 'kuliah', 'itu', 'tidak', 'sekadar', 'sks', 'di', 'kelas', 'tapi', 'sks', 'kalau', 'dihitung', 'beban', 'belajarnya', 'tuh', 'benaran', 'kayak', 'wake', 'up', 'call', 'buat', 'siapa', 'pun', 'yang', 'masih', 'merasa', 'kuliah', 'itu', 'santai', 'padahal', 'nyatanya', 'kalau', 'tidak', 'pintar', 'mengatur', 'waktu', 'yang', 'santai', 'bisa', 'jadi', 'stres', 'jadi', 'makin', 'sadar', 'kalau', 'dunia', 'kampus', 'itu', 'kayak', 'simulasi', 'dunia', 'nyata', 'siapa', 'yang', 'bisa', 'mengatur', 'dirinya', 'dia', 'yang', 'bakal', 'bertahan', 'bagian', 'transisi', 'dari', 'siswa', 'sama', 'kelas', 'ke', 'mahasiswa', 'itu', 'lucu', 'tapi', 'nyentil', 'keras', 'banget', 'apalagi', 'buat', 'anak', 'rantau', 'yang', 'biasa', 'diingatkan', 'orang', 'rumah', 'lalu', 'mendadak', 'harus', 'mengatur', 'semuanya', 'sendiri', 'di', 'situlah', 'karakter', 'ditempa', 'bukan', 'di', 'ruang', 'kelas', 'tapi', 'dalam', 'sunyi', 'saat', 'harus', 'memilih', 'antara', 'tanggung', 'jawab', 'atau', 'rebahan', 'ada', 'satu', 'kalimat', 'yang', 'menempel', 'banget', 'jangan', 'kelamaan', 'jadi', 'siswa', 'karena', 'mahasiswa', 'bukan', 'soal', 'status', 'tapi', 'soal', 'sikap', 'dan', 'itu', 'relevan', 'banget', 'untuk', 'kita', 'yang', 'sering', 'terjebak', 'dalam', 'zona', 'nyaman', 'makanya', 'sekarang', 'saya', 'jadi', 'sering', 'bertanya', 'ke', 'diri', 'sendiri', 'ini', 'lagi', 'kuliah', 'atau', 'lagi', 'numpang', 'lewat', 'terakhir', 'insight', 'tentang', 'magang', 'dan', 'komunitas', 'itu', 'emas', 'banget', 'karena', 'ternyata', 'jago', 'kandang', 'bukan', 'cuma', 'soal', 'malas', 'tampil', 'tapi', 'juga', 'soal', 'takut', 'gagal', 'padahal', 'kesempatan', 'itu', 'justru', 'lahir', 'dari', 'keberanian', 'untuk', 'ikut', 'lomba', 'masuk', 'komunitas', 'dan', 'cari', 'peran', 'lebih', 'dari', 'sekadar', 'mahasiswa', 'pasif', 'dulu', 'saya', 'pikir', 'kalau', 'tidak', 'pintar', 'pintar', 'banget', 'mending', 'tidak', 'usah', 'ikut', 'lomba', 'ternyata', 'justru', 'dari', 'sana', 'relasi', 'dan', 'kepercayaan', 'diri', 'dibangun', 'karena', 'yang', 'paling', 'mahal', 'dari', 'kuliah', 'bukan', 'ijazahnya', 'tapi', 'pengalaman', 'yang', 'tidak', 'bisa', 'dibeli', 'ulang', 'sekarang', 'jadi', 'makin', 'mantap', 'buat', 'keluar', 'dari', 'kandang', 'dan', 'terbang', 'lebih', 'jauh', 'karena', 'saya', 'percaya', 'belajar', 'terbaik', 'justru', 'dimulai', 'saat', 'kita', 'tidak', 'lagi', 'merasa', 'paling', 'tahu']",cerita terjebak jurusan suka main game relatable banget jujur ngebuka mata orang keputusan memilih jurusan berdasarkan kesenangan kuliah taman bermain ladang bertumbuh kalimat kuliah sks kelas sks dihitung beban belajarnya tuh benaran kayak wake up call kuliah santai pintar mengatur santai stres sadar dunia kampus kayak simulasi dunia nyata mengatur bertahan transisi siswa kelas mahasiswa lucu nyentil keras banget anak rantau orang rumah mendadak mengatur situlah karakter ditempa ruang kelas sunyi memilih tanggung rebahan kalimat menempel banget siswa mahasiswa status sikap relevan banget terjebak zona nyaman kuliah numpang insight magang komunitas emas banget jago kandang malas tampil takut gagal kesempatan lahir keberanian lomba masuk komunitas cari peran mahasiswa pasif pikir pintar pintar banget mending lomba relasi kepercayaan dibangun mahal kuliah ijazahnya pengalaman dibeli ulang mantap kandang terbang percaya belajar terbaik
"sebenernya g IT aja,,semua fakultas harus menerapkan ini,,karena fakta di lapangan banyak lulusan yang perusahaan susah mencari skill sesuai jurusannya,,contoh lulusan IT,,mengoperasikan dasar IT aja g bisa,,,dan itu berlaku semua fakultas.",sebenernya g it aja semua fakultas harus menerapkan ini karena fakta di lapangan banyak lulusan yang perusahaan susah mencari skill sesuai jurusannya contoh lulusan it mengoperasikan dasar it aja g bisa dan itu berlaku semua fakultas,sebenarnya tidak saja semua fakultas harus menerapkan ini karena fakta di lapangan banyak lulusan yang perusahaan susah mencari skill sesuai jurusannya contoh lulusan mengoperasikan dasar saja tidak bisa dan itu berlaku semua fakultas,"['sebenarnya', 'tidak', 'saja', 'semua', 'fakultas', 'harus', 'menerapkan', 'ini', 'karena', 'fakta', 'di', 'lapangan', 'banyak', 'lulusan', 'yang', 'perusahaan', 'susah', 'mencari', 'skill', 'sesuai', 'jurusannya', 'contoh', 'lulusan', 'mengoperasikan', 'dasar', 'saja', 'tidak', 'bisa', 'dan', 'itu', 'berlaku', 'semua', 'fakultas']",fakultas menerapkan fakta lapangan lulusan perusahaan susah mencari skill sesuai jurusannya contoh lulusan mengoperasikan dasar berlaku fakultas
"sangat bermanfaat, ini berlaku untuk semua jurusan ya, tidak hanya IT",sangat bermanfaat ini berlaku untuk semua jurusan ya tidak hanya it,sangat bermanfaat ini berlaku untuk semua jurusan ya tidak hanya,"['sangat', 'bermanfaat', 'ini', 'berlaku', 'untuk', 'semua', 'jurusan', 'ya', 'tidak', 'hanya']",bermanfaat berlaku jurusan ya
Yang saya sesalkan saya gak bisa kuliah karena saya tau keadaan orang tua. Bersyukurlah anda bisa kuliah.,yang saya sesalkan saya gak bisa kuliah karena saya tau keadaan orang tua bersyukurlah anda bisa kuliah,yang saya sesalkan saya tidak bisa kuliah karena saya tau keadaan orang tua bersyukurlah anda bisa kuliah,"['yang', 'saya', 'sesalkan', 'saya', 'tidak', 'bisa', 'kuliah', 'karena', 'saya', 'tau', 'keadaan', 'orang', 'tua', 'bersyukurlah', 'anda', 'bisa', 'kuliah']",sesalkan kuliah tau orang tua bersyukurlah kuliah
"aku kesini nyari nyari karna ya bener masuk milih kuliah IT karna kemauan ortu, nyoba nyoba mahami nyari nyoba dari awal apa yang harus di pelajari di benahi",aku kesini nyari nyari karna ya bener masuk milih kuliah it karna kemauan ortu nyoba nyoba mahami nyari nyoba dari awal apa yang harus di pelajari di benahi,aku kesini mencari mencari karena ya benar masuk memilih kuliah karena kemauan mencoba mencoba mahami mencari mencoba dari awal apa yang harus di pelajari di benahi,"['aku', 'kesini', 'mencari', 'mencari', 'karena', 'ya', 'benar', 'masuk', 'memilih', 'kuliah', 'karena', 'kemauan', 'mencoba', 'mencoba', 'mahami', 'mencari', 'mencoba', 'dari', 'awal', 'apa', 'yang', 'harus', 'di', 'pelajari', 'di', 'benahi']",kesini mencari mencari ya masuk memilih kuliah kemauan mencoba mencoba mahami mencari mencoba pelajari benahi
ga ada yg bikin menyesal lah...kecuali memang ga bs mensiasatinya,ga ada yg bikin menyesal lah kecuali memang ga bs mensiasatinya,tidak ada yang bikin menyesal lah kecuali memang tidak bisa mensiasatinya,"['tidak', 'ada', 'yang', 'bikin', 'menyesal', 'lah', 'kecuali', 'memang', 'tidak', 'bisa', 'mensiasatinya']",bikin menyesal kecuali mensiasatinya
Kalau boleh nambahin kak apakah jurusan IT yang diambil sesuai dengan kebutuhan industri,kalau boleh nambahin kak apakah jurusan it yang diambil sesuai dengan kebutuhan industri,kalau boleh nambahin kak apakah jurusan yang diambil sesuai dengan kebutuhan industri,"['kalau', 'boleh', 'nambahin', 'kak', 'apakah', 'jurusan', 'yang', 'diambil', 'sesuai', 'dengan', 'kebutuhan', 'industri']",nambahin kak jurusan diambil sesuai kebutuhan industri
Aku dulu kul IT akhirnya keluar. Pindah fisip ilmu komunikasi 😁,aku dulu kul it akhirnya keluar pindah fisip ilmu komunikasi,aku dulu kul akhirnya keluar pindah fisip ilmu komunikasi,"['aku', 'dulu', 'kul', 'akhirnya', 'keluar', 'pindah', 'fisip', 'ilmu', 'komunikasi']",kul pindah fisip ilmu komunikasi
IT kedepannya sangat menjanjikan Bro. Belajar dan adopsi IT luar gimana mereka bisa  mengembangkan blckchain. Dapps dan masih banyak teknologi yg memerlukan bridge IT. Jadi diluar sangat maju utk perkembangan IT skala langkah 1 di sini disana udah 1000 langkah . Tetap berkarya dan semangat,it kedepannya sangat menjanjikan bro belajar dan adopsi it luar gimana mereka bisa mengembangkan blckchain dapps dan masih banyak teknologi yg memerlukan bridge it jadi diluar sangat maju utk perkembangan it skala langkah di sini disana udah langkah tetap berkarya dan semangat,kedepannya sangat menjanjikan bro belajar dan adopsi luar bagaimana mereka bisa mengembangkan blckchain dapps dan masih banyak teknologi yang memerlukan bridge jadi diluar sangat maju untuk perkembangan skala langkah di sini disana sudah langkah tetap berkarya dan semangat,"['kedepannya', 'sangat', 'menjanjikan', 'bro', 'belajar', 'dan', 'adopsi', 'luar', 'bagaimana', 'mereka', 'bisa', 'mengembangkan', 'blckchain', 'dapps', 'dan', 'masih', 'banyak', 'teknologi', 'yang', 'memerlukan', 'bridge', 'jadi', 'diluar', 'sangat', 'maju', 'untuk', 'perkembangan', 'skala', 'langkah', 'di', 'sini', 'disana', 'sudah', 'langkah', 'tetap', 'berkarya', 'dan', 'semangat']",kedepannya menjanjikan bro belajar adopsi mengembangkan blckchain dapps teknologi bridge diluar maju perkembangan skala langkah disana langkah berkarya semangat
Penjelasannya penyesalan kuliah secara umum....,penjelasannya penyesalan kuliah secara umum,penjelasannya penyesalan kuliah secara umum,"['penjelasannya', 'penyesalan', 'kuliah', 'secara', 'umum']",penjelasannya penyesalan kuliah
"Penyesalan selalu karena tidak bisa langsung dapat kerja setelah lulus. Padahal ilmu, lulus dan kerja adalah tiga hal yang berbeda dan tidak saling berhubungan.",penyesalan selalu karena tidak bisa langsung dapat kerja setelah lulus padahal ilmu lulus dan kerja adalah tiga hal yang berbeda dan tidak saling berhubungan,penyesalan selalu karena tidak bisa langsung dapat kerja setelah lulus padahal ilmu lulus dan kerja adalah tiga hal yang berbeda dan tidak saling berhubungan,"['penyesalan', 'selalu', 'karena', 'tidak', 'bisa', 'langsung', 'dapat', 'kerja', 'setelah', 'lulus', 'padahal', 'ilmu', 'lulus', 'dan', 'kerja', 'adalah', 'tiga', 'hal', 'yang', 'berbeda', 'dan', 'tidak', 'saling', 'berhubungan']",penyesalan langsung kerja lulus ilmu lulus kerja berbeda berhubungan
Haha..iya bang sama...eh pak dosen dulu ajmk juga ga tahu Krn disuruh🫢,haha iya bang sama eh pak dosen dulu ajmk juga ga tahu krn disuruh,haha iya abang sama eh pak dosen dulu ajmk juga tidak tahu karena disuruh,"['haha', 'iya', 'abang', 'sama', 'eh', 'pak', 'dosen', 'dulu', 'ajmk', 'juga', 'tidak', 'tahu', 'karena', 'disuruh']",haha iya abang eh dosen ajmk disuruh
Terima kasih ya atas penjelasannya tentang..; IT..!;,terima kasih ya atas penjelasannya tentang it,terima kasih ya atas penjelasannya tentang,"['terima', 'kasih', 'ya', 'atas', 'penjelasannya', 'tentang']",terima kasih ya penjelasannya
Teknik industri yg menyangkut teknologi apa mekatronika begitu kedepan  kedepan nya ada kesempatan. IT pun kalok tdk ada yg make misal pemerintah harus ujian lg masuk cpns,teknik industri yg menyangkut teknologi apa mekatronika begitu kedepan kedepan nya ada kesempatan it pun kalok tdk ada yg make misal pemerintah harus ujian lg masuk cpns,teknik industri yang menyangkut teknologi apa mekatronika begitu kedepan kedepan ya ada kesempatan pun kalau tidak ada yang memakai misal pemerintah harus ujian lagi masuk cpns,"['teknik', 'industri', 'yang', 'menyangkut', 'teknologi', 'apa', 'mekatronika', 'begitu', 'kedepan', 'kedepan', 'ya', 'ada', 'kesempatan', 'pun', 'kalau', 'tidak', 'ada', 'yang', 'memakai', 'misal', 'pemerintah', 'harus', 'ujian', 'lagi', 'masuk', 'cpns']",teknik industri teknologi mekatronika kedepan kedepan ya kesempatan memakai pemerintah ujian masuk cpns
Kiranya bakal jadi hacker,kiranya bakal jadi hacker,kiranya bakal jadi hacker,"['kiranya', 'bakal', 'jadi', 'hacker']",hacker
"aku bentar lagi graduate (smk) dan mau kuliah ngambil jurusan IT. Alasannya sih karena kalo nge game terus buka buka web suka kagum dan penasaran, ini bikinya gimana ya, susah g sih,, kayak pensaran aja pengen tahu cara buatnya aja. tapii kenapa orang orang bilang menyesal yah milih IT?",aku bentar lagi graduate smk dan mau kuliah ngambil jurusan it alasannya sih karena kalo nge game terus buka buka web suka kagum dan penasaran ini bikinya gimana ya susah g sih kayak pensaran aja pengen tahu cara buatnya aja tapii kenapa orang orang bilang menyesal yah milih it,aku bentar lagi graduate dan mau kuliah ngambil jurusan alasannya sih karena kalau nge game terus buka buka web suka kagum dan penasaran ini bikinya bagaimana ya susah tidak sih kayak penasaran saja pengin tahu cara buatnya saja tapi kenapa orang orang bilang menyesal ya memilih,"['aku', 'bentar', 'lagi', 'graduate', 'dan', 'mau', 'kuliah', 'ngambil', 'jurusan', 'alasannya', 'sih', 'karena', 'kalau', 'nge', 'game', 'terus', 'buka', 'buka', 'web', 'suka', 'kagum', 'dan', 'penasaran', 'ini', 'bikinya', 'bagaimana', 'ya', 'susah', 'tidak', 'sih', 'kayak', 'penasaran', 'saja', 'pengin', 'tahu', 'cara', 'buatnya', 'saja', 'tapi', 'kenapa', 'orang', 'orang', 'bilang', 'menyesal', 'ya', 'memilih']",bentar graduate kuliah ngambil jurusan alasannya sih nge game buka buka web suka kagum penasaran bikinya ya susah sih kayak penasaran pengin buatnya orang orang bilang menyesal ya memilih
"katanya karena sekarang belajar IT itu darimana pun  bisa, kayak dari youtube atau web web yang lain dan kebanyakan pembelajarannya murah (gratis). Dan gak fokus untuk memperdalam ilmu nya",katanya karena sekarang belajar it itu darimana pun bisa kayak dari youtube atau web web yang lain dan kebanyakan pembelajarannya murah gratis dan gak fokus untuk memperdalam ilmu nya,katanya karena sekarang belajar itu darimana pun bisa kayak dari youtube atau web web yang lain dan kebanyakan pembelajarannya murah gratis dan tidak fokus untuk memperdalam ilmu ya,"['katanya', 'karena', 'sekarang', 'belajar', 'itu', 'darimana', 'pun', 'bisa', 'kayak', 'dari', 'youtube', 'atau', 'web', 'web', 'yang', 'lain', 'dan', 'kebanyakan', 'pembelajarannya', 'murah', 'gratis', 'dan', 'tidak', 'fokus', 'untuk', 'memperdalam', 'ilmu', 'ya']",belajar darimana kayak youtube web web kebanyakan pembelajarannya murah gratis fokus memperdalam ilmu ya
Btw mau ngambil it di mana? <br>Sama aku juga lulus tahun ini (sma),btw mau ngambil it di mana sama aku juga lulus tahun ini sma,btw mau ngambil di mana sama aku juga lulus tahun ini sama,"['btw', 'mau', 'ngambil', 'di', 'mana', 'sama', 'aku', 'juga', 'lulus', 'tahun', 'ini', 'sama']",btw ngambil lulus
"@@sahrulrizki7928 nah itu bang gw juga bingung gw lulusan tahun ini anak SMK jurusan dkv, dan gw suka sama web develop jadi mau masuk IT dan ternyata banyak orang yang nyesel masuk IT, bingung wok",nah itu bang gw juga bingung gw lulusan tahun ini anak smk jurusan dkv dan gw suka sama web develop jadi mau masuk it dan ternyata banyak orang yang nyesel masuk it bingung wok,nah itu abang gue juga bingung gue lulusan tahun ini anak jurusan dkv dan gue suka sama web develop jadi mau masuk dan ternyata banyak orang yang menyesal masuk bingung wok,"['nah', 'itu', 'abang', 'gue', 'juga', 'bingung', 'gue', 'lulusan', 'tahun', 'ini', 'anak', 'jurusan', 'dkv', 'dan', 'gue', 'suka', 'sama', 'web', 'develop', 'jadi', 'mau', 'masuk', 'dan', 'ternyata', 'banyak', 'orang', 'yang', 'menyesal', 'masuk', 'bingung', 'wok']",abang gue bingung gue lulusan anak jurusan dkv gue suka web develop masuk orang menyesal masuk bingung wok
"@@sahrulrizki7928 lu masuk mana bang snbt gw nggak lolos njir 😹, gw niatnya mau masuk unindra jurusan IT tapi bingung antara IT atau DKV",lu masuk mana bang snbt gw nggak lolos njir gw niatnya mau masuk unindra jurusan it tapi bingung antara it atau dkv,kamu masuk mana abang snbt gue tidak lolos anjir gue niatnya mau masuk unindra jurusan tapi bingung antara atau dkv,"['kamu', 'masuk', 'mana', 'abang', 'snbt', 'gue', 'tidak', 'lolos', 'anjir', 'gue', 'niatnya', 'mau', 'masuk', 'unindra', 'jurusan', 'tapi', 'bingung', 'antara', 'atau', 'dkv']",masuk abang snbt gue lolos anjir gue niatnya masuk unindra jurusan bingung dkv
"​@Bvariachen22 sama gw juga gk lolos, skrg bingung mau daftar kemana. <br>Mau coba IT lagi takut gagal lagi, mau coba jurusan yg lain bingung belum nemu yg cocok 😢",sama gw juga gk lolos skrg bingung mau daftar kemana mau coba it lagi takut gagal lagi mau coba jurusan yg lain bingung belum nemu yg cocok,sama gue juga tidak lolos sekarang bingung mau daftar kemana mau coba lagi takut gagal lagi mau coba jurusan yang lain bingung belum nemu yang cocok,"['sama', 'gue', 'juga', 'tidak', 'lolos', 'sekarang', 'bingung', 'mau', 'daftar', 'kemana', 'mau', 'coba', 'lagi', 'takut', 'gagal', 'lagi', 'mau', 'coba', 'jurusan', 'yang', 'lain', 'bingung', 'belum', 'nemu', 'yang', 'cocok']",gue lolos bingung daftar kemana coba takut gagal coba jurusan bingung nemu cocok
"ini maksudnya nyesel di perkuliahan ya, bukan nyesel perkuliahan IT",ini maksudnya nyesel di perkuliahan ya bukan nyesel perkuliahan it,ini maksudnya menyesal di perkuliahan ya bukan menyesal perkuliahan,"['ini', 'maksudnya', 'menyesal', 'di', 'perkuliahan', 'ya', 'bukan', 'menyesal', 'perkuliahan']",maksudnya menyesal perkuliahan ya menyesal perkuliahan
udh selesai semester 1 kaget dapatin nilai A cukup susah padahal selalu mengerjakan tugas tapi belajarnya yg jarang jarang terus pas libur  semester bingung mau ngapain soalnya lama banget mau belajar juga bosen sendirian terus 😢,udh selesai semester kaget dapatin nilai a cukup susah padahal selalu mengerjakan tugas tapi belajarnya yg jarang jarang terus pas libur semester bingung mau ngapain soalnya lama banget mau belajar juga bosen sendirian terus,sudah selesai semester kaget dapatin nilai a cukup susah padahal selalu mengerjakan tugas tapi belajarnya yang jarang jarang terus pas libur semester bingung mau mengapai soalnya lama banget mau belajar juga bosan sendirian terus,"['sudah', 'selesai', 'semester', 'kaget', 'dapatin', 'nilai', 'a', 'cukup', 'susah', 'padahal', 'selalu', 'mengerjakan', 'tugas', 'tapi', 'belajarnya', 'yang', 'jarang', 'jarang', 'terus', 'pas', 'libur', 'semester', 'bingung', 'mau', 'mengapai', 'soalnya', 'lama', 'banget', 'mau', 'belajar', 'juga', 'bosan', 'sendirian', 'terus']",selesai semester kaget dapatin nilai a susah tugas belajarnya jarang jarang pas libur semester bingung mengapai banget belajar bosan
nonton ke gini pas udah naik semester 8 dan ngerasain sendiri kuliah karna pengen sendiri atau tuntutan kepengen orang tua itu rasanya beda banget ngejalanin nya,nonton ke gini pas udah naik semester dan ngerasain sendiri kuliah karna pengen sendiri atau tuntutan kepengen orang tua itu rasanya beda banget ngejalanin nya,menonton ke begini pas sudah naik semester dan merasai sendiri kuliah karena pengin sendiri atau tuntutan kepengen orang tua itu rasanya beda banget ngejalanin ya,"['menonton', 'ke', 'begini', 'pas', 'sudah', 'naik', 'semester', 'dan', 'merasai', 'sendiri', 'kuliah', 'karena', 'pengin', 'sendiri', 'atau', 'tuntutan', 'kepengen', 'orang', 'tua', 'itu', 'rasanya', 'beda', 'banget', 'ngejalanin', 'ya']",menonton pas semester merasai kuliah pengin tuntutan kepengen orang tua beda banget ngejalanin ya
"sama tau tau udah semester akhir udah ngerjain capstone, nyesel rasanya dulu gk banyak belajar. baru belajar pas udah mau capstone",sama tau tau udah semester akhir udah ngerjain capstone nyesel rasanya dulu gk banyak belajar baru belajar pas udah mau capstone,sama tau tau sudah semester akhir sudah ngerjain capstone menyesal rasanya dulu tidak banyak belajar baru belajar pas sudah mau capstone,"['sama', 'tau', 'tau', 'sudah', 'semester', 'akhir', 'sudah', 'ngerjain', 'capstone', 'menyesal', 'rasanya', 'dulu', 'tidak', 'banyak', 'belajar', 'baru', 'belajar', 'pas', 'sudah', 'mau', 'capstone']",tau tau semester ngerjain capstone menyesal belajar belajar pas capstone
"kelau sekolah tecknologi di indomie masih kelas bawah bre. beda lu kuliah dichina, america, jelas Tecnologi berkemabang pesat.😂",kelau sekolah tecknologi di indomie masih kelas bawah bre beda lu kuliah dichina america jelas tecnologi berkemabang pesat,kelau sekolah tecknologi di indomie masih kelas bawah bre beda kamu kuliah dichina america jelas tecnologi berkemabang pesat,"['kelau', 'sekolah', 'tecknologi', 'di', 'indomie', 'masih', 'kelas', 'bawah', 'bre', 'beda', 'kamu', 'kuliah', 'dichina', 'america', 'jelas', 'tecnologi', 'berkemabang', 'pesat']",kelau sekolah tecknologi indomie kelas bre beda kuliah dichina america tecnologi berkemabang pesat
"dulu w masuk ke IT, karena dulu suka ngoprek laptop kk + suka ngoprek Linux.....<br>tapi yang ada malah dapet dosen ampas :V",dulu w masuk ke it karena dulu suka ngoprek laptop kk suka ngoprek linux tapi yang ada malah dapet dosen ampas v,dulu gue masuk ke karena dulu suka ngoprek laptop kakak suka ngoprek linux tapi yang ada malah dapat dosen ampas v,"['dulu', 'gue', 'masuk', 'ke', 'karena', 'dulu', 'suka', 'ngoprek', 'laptop', 'kakak', 'suka', 'ngoprek', 'linux', 'tapi', 'yang', 'ada', 'malah', 'dapat', 'dosen', 'ampas', 'v']",gue masuk suka ngoprek laptop kakak suka ngoprek linux dosen ampas v
