comment,cleaning,normalisasi,tokenize,stopword
"Tetap lah basic dasarnya diperlukan..<br>Emangnya Jarvis bisa ngapain kalau Tony Starks nya IQ jongkok..<br>Gitu aja sich..<br>AI hanya tools, tapi semua tergantung manusia nya..",tetap lah basic dasarnya diperlukan emangnya jarvis bisa ngapain kalau tony starks nya iq jongkok gitu aja sich ai hanya tools tapi semua tergantung manusia nya,tetap lah basic dasarnya diperlukan memangnya jarvis bisa mengapai kalau tony starks ya iq jongkok begitu saja sih artificialintelligence hanya tools tapi semua tergantung manusia ya,"['tetap', 'lah', 'basic', 'dasarnya', 'diperlukan', 'memangnya', 'jarvis', 'bisa', 'mengapai', 'kalau', 'tony', 'starks', 'ya', 'iq', 'jongkok', 'begitu', 'saja', 'sih', 'artificialintelligence', 'hanya', 'tools', 'tapi', 'semua', 'tergantung', 'manusia', 'ya']",basic dasarnya memangnya jarvis mengapai tony starks ya iq jongkok sih artificialintelligence tools tergantung manusia ya
"Saking mempermudah nya, sampai gk perlu mikir",saking mempermudah nya sampai gk perlu mikir,saking mempermudah ya sampai tidak perlu mikir,"['saking', 'mempermudah', 'ya', 'sampai', 'tidak', 'perlu', 'mikir']",saking mempermudah ya mikir
"Semenjak ada AI, tiap dpt project udh ga pake mikir lagi, langsung ;bisa;, ;siap;, dsb. Intinya AI ngebantu gue buat jadi lebih produktif bahkan sekalipun gue ngerjain sendirian.<br><br>Karna yg paling horor dr sebuah project itu ketika harus berhadapan dgn kode yg sama terus-menerus, nah disini AI bekerja.<br><br>Tambah lagi tahap brainstorming yg cukup makan waktu kalo digarap sendiri.<br><br>Jadi pinter-pinter kita aja buat manfaatin setiap tools yg ada, bukan malah merasa tersisih.",semenjak ada ai tiap dpt project udh ga pake mikir lagi langsung bisa siap dsb intinya ai ngebantu gue buat jadi lebih produktif bahkan sekalipun gue ngerjain sendirian karna yg paling horor dr sebuah project itu ketika harus berhadapan dgn kode yg sama terus menerus nah disini ai bekerja tambah lagi tahap brainstorming yg cukup makan waktu kalo digarap sendiri jadi pinter pinter kita aja buat manfaatin setiap tools yg ada bukan malah merasa tersisih,semenjak ada artificialintelligence tiap dapat project sudah tidak pakai mikir lagi langsung bisa siap dsb intinya artificialintelligence membantu gue buat jadi lebih produktif bahkan sekalipun gue ngerjain sendirian karena yang paling horor dari sebuah project itu ketika harus berhadapan dengan kode yang sama terus menerus nah disini artificialintelligence bekerja tambah lagi tahap brainstorming yang cukup makan waktu kalau digarap sendiri jadi pintar pintar kita saja buat manfaatin setiap tools yang ada bukan malah merasa tersisih,"['semenjak', 'ada', 'artificialintelligence', 'tiap', 'dapat', 'project', 'sudah', 'tidak', 'pakai', 'mikir', 'lagi', 'langsung', 'bisa', 'siap', 'dsb', 'intinya', 'artificialintelligence', 'membantu', 'gue', 'buat', 'jadi', 'lebih', 'produktif', 'bahkan', 'sekalipun', 'gue', 'ngerjain', 'sendirian', 'karena', 'yang', 'paling', 'horor', 'dari', 'sebuah', 'project', 'itu', 'ketika', 'harus', 'berhadapan', 'dengan', 'kode', 'yang', 'sama', 'terus', 'menerus', 'nah', 'disini', 'artificialintelligence', 'bekerja', 'tambah', 'lagi', 'tahap', 'brainstorming', 'yang', 'cukup', 'makan', 'waktu', 'kalau', 'digarap', 'sendiri', 'jadi', 'pintar', 'pintar', 'kita', 'saja', 'buat', 'manfaatin', 'setiap', 'tools', 'yang', 'ada', 'bukan', 'malah', 'merasa', 'tersisih']",semenjak artificialintelligence project pakai mikir langsung dsb intinya artificialintelligence membantu gue produktif gue ngerjain horor project berhadapan kode menerus artificialintelligence tahap brainstorming makan digarap pintar pintar manfaatin tools tersisih
"gue build website dari awal pake ai, dan gue jadiin tools. lu harus tetep ngerti cara pake codingannya sih, ga serta merta ai nyelesain semuanya. andai kata lu pake react atau laravel. lu harus tetep ngerti kegunaan controller, middleware or route buat apa.",gue build website dari awal pake ai dan gue jadiin tools lu harus tetep ngerti cara pake codingannya sih ga serta merta ai nyelesain semuanya andai kata lu pake react atau laravel lu harus tetep ngerti kegunaan controller middleware or route buat apa,gue build website dari awal pakai artificialintelligence dan gue jadikan tools kamu harus tetap mengerti cara pakai codingannya sih tidak serta merta artificialintelligence menyelesaikan semuanya andai kata kamu pakai react atau laravel kamu harus tetap mengerti kegunaan controller middleware orang route buat apa,"['gue', 'build', 'website', 'dari', 'awal', 'pakai', 'artificialintelligence', 'dan', 'gue', 'jadikan', 'tools', 'kamu', 'harus', 'tetap', 'mengerti', 'cara', 'pakai', 'codingannya', 'sih', 'tidak', 'serta', 'merta', 'artificialintelligence', 'menyelesaikan', 'semuanya', 'andai', 'kata', 'kamu', 'pakai', 'react', 'atau', 'laravel', 'kamu', 'harus', 'tetap', 'mengerti', 'kegunaan', 'controller', 'middleware', 'orang', 'route', 'buat', 'apa']",gue build website pakai artificialintelligence gue jadikan tools mengerti pakai codingannya sih merta artificialintelligence menyelesaikan andai pakai react laravel mengerti kegunaan controller middleware orang route
"malah AI ini bantu kita coding, contohnya saja ketika buat unit test yang strukturnya sama, mirip mirip, kita bisa suruh si AI buat generate unit test nya, kita tinggal kasih scenario nya saja, jadi lebih mempercepat pekerjaan. Tapi tetap tahu batasan dalam menggunakannya, jangan sampai buat kita malas belajar, malah ngandelin AI nya terus, hasil coding yang digenerate sama AI juga perlu kita check kembali.",malah ai ini bantu kita coding contohnya saja ketika buat unit test yang strukturnya sama mirip mirip kita bisa suruh si ai buat generate unit test nya kita tinggal kasih scenario nya saja jadi lebih mempercepat pekerjaan tapi tetap tahu batasan dalam menggunakannya jangan sampai buat kita malas belajar malah ngandelin ai nya terus hasil coding yang digenerate sama ai juga perlu kita check kembali,malah artificialintelligence ini bantu kita coding contohnya saja ketika buat unit test yang strukturnya sama mirip mirip kita bisa suruh sih artificialintelligence buat generate unit test ya kita tinggal kasih scenario ya saja jadi lebih mempercepat pekerjaan tapi tetap tahu batasan dalam menggunakannya jangan sampai buat kita malas belajar malah ngandelin artificialintelligence ya terus hasil coding yang digenerate sama artificialintelligence juga perlu kita check kembali,"['malah', 'artificialintelligence', 'ini', 'bantu', 'kita', 'coding', 'contohnya', 'saja', 'ketika', 'buat', 'unit', 'test', 'yang', 'strukturnya', 'sama', 'mirip', 'mirip', 'kita', 'bisa', 'suruh', 'sih', 'artificialintelligence', 'buat', 'generate', 'unit', 'test', 'ya', 'kita', 'tinggal', 'kasih', 'scenario', 'ya', 'saja', 'jadi', 'lebih', 'mempercepat', 'pekerjaan', 'tapi', 'tetap', 'tahu', 'batasan', 'dalam', 'menggunakannya', 'jangan', 'sampai', 'buat', 'kita', 'malas', 'belajar', 'malah', 'ngandelin', 'artificialintelligence', 'ya', 'terus', 'hasil', 'coding', 'yang', 'digenerate', 'sama', 'artificialintelligence', 'juga', 'perlu', 'kita', 'check', 'kembali']",artificialintelligence bantu coding contohnya unit test strukturnya suruh sih artificialintelligence generate unit test ya tinggal kasih scenario ya mempercepat pekerjaan batasan menggunakannya malas belajar ngandelin artificialintelligence ya hasil coding digenerate artificialintelligence check
AI = tools,ai tools,artificialintelligence tools,"['artificialintelligence', 'tools']",artificialintelligence tools
"gw lagi nyari akun gplay console. yg mau jual, hubungin gw. harga oke",gw lagi nyari akun gplay console yg mau jual hubungin gw harga oke,gue lagi mencari akun gplay console yang mau jual hubungin gue harga oke,"['gue', 'lagi', 'mencari', 'akun', 'gplay', 'console', 'yang', 'mau', 'jual', 'hubungin', 'gue', 'harga', 'oke']",gue mencari akun gplay console jual hubungin gue harga oke
Kenapa lu berhenti coding bang?,kenapa lu berhenti coding bang,kenapa kamu berhenti coding abang,"['kenapa', 'kamu', 'berhenti', 'coding', 'abang']",berhenti coding abang
klo programmer punah yang maintain AI nya siapa? wkwk,klo programmer punah yang maintain ai nya siapa wkwk,kalau programmer punah yang maintain artificialintelligence ya siapa wkwk,"['kalau', 'programmer', 'punah', 'yang', 'maintain', 'artificialintelligence', 'ya', 'siapa', 'wkwk']",programmer punah maintain artificialintelligence ya wkwk
Ingat ya! A.I sekarang layaknya hp batu bata tahun 90-an yang perkembangannya masih berlanjut dan pesat💀,ingat ya a i sekarang layaknya hp batu bata tahun an yang perkembangannya masih berlanjut dan pesat,ingat ya a i sekarang layaknya hp batu bata tahun an yang perkembangannya masih berlanjut dan pesat,"['ingat', 'ya', 'a', 'i', 'sekarang', 'layaknya', 'hp', 'batu', 'bata', 'tahun', 'an', 'yang', 'perkembangannya', 'masih', 'berlanjut', 'dan', 'pesat']",ya a i layaknya hp batu bata an perkembangannya berlanjut pesat
